HomePlanet,CryoSleep,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Transported,SpeseTot,Deck,CabinNum,Side,GroupId,GroupSize,IsSolo
Mars,1.0,TRAPPIST-1e,45.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,F,5,P,0016,1,1
Earth,0.0,TRAPPIST-1e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,G,0,P,0017,2,0
Earth,0.0,55 Cancri e,14.0,0.0,412.0,0.0,1.0,0.0,679.0,False,1092.0,F,6,P,0017,2,0
Earth,1.0,TRAPPIST-1e,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,E,0,S,0020,6,0
Earth,1.0,55 Cancri e,49.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,E,0,S,0020,6,0
Earth,1.0,55 Cancri e,29.0,0.0,0.0,0.0,,0.0,0.0,False,0.0,E,0,S,0020,6,0
Earth,0.0,TRAPPIST-1e,10.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,E,0,S,0020,6,0
Earth,1.0,PSO J318.5-22,1.0,0.0,,0.0,0.0,0.0,0.0,False,0.0,E,0,S,0020,6,0
Earth,0.0,TRAPPIST-1e,7.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,E,0,S,0020,6,0
Mars,0.0,TRAPPIST-1e,21.0,0.0,980.0,2.0,69.0,0.0,0.0,False,1051.0,D,0,P,0022,1,1
Europa,1.0,TRAPPIST-1e,62.0,0.0,0.0,0.0,,0.0,0.0,True,0.0,C,2,S,0024,1,1
Earth,0.0,TRAPPIST-1e,15.0,0.0,0.0,225.0,0.0,998.0,0.0,False,1223.0,F,6,S,0025,1,1
Europa,0.0,55 Cancri e,34.0,0.0,22.0,6073.0,0.0,1438.0,328.0,False,7861.0,C,0,P,0026,1,1
Mars,0.0,TRAPPIST-1e,43.0,0.0,1125.0,0.0,136.0,48.0,0.0,False,1309.0,F,8,P,0028,1,1
Earth,0.0,TRAPPIST-1e,32.0,0.0,0.0,850.0,81.0,437.0,453.0,False,1821.0,G,4,S,0030,1,1
Mars,0.0,TRAPPIST-1e,47.0,0.0,214.0,0.0,1411.0,0.0,1229.0,True,2854.0,F,9,P,0031,3,0
Mars,0.0,TRAPPIST-1e,2.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,F,9,P,0031,3,0
Mars,0.0,TRAPPIST-1e,20.0,0.0,,0.0,1750.0,990.0,0.0,True,2740.0,F,9,P,0031,3,0
Europa,1.0,55 Cancri e,28.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,D,1,S,0034,1,1
Mars,0.0,55 Cancri e,23.0,0.0,784.0,964.0,0.0,951.0,0.0,False,2699.0,D,1,P,0035,1,1
Earth,0.0,55 Cancri e,15.0,,0.0,492.0,48.0,20.0,401.0,False,961.0,F,8,S,0036,1,1
Earth,0.0,55 Cancri e,20.0,0.0,554.0,195.0,0.0,2606.0,0.0,False,3355.0,F,10,S,0038,1,1
Earth,1.0,55 Cancri e,30.0,0.0,0.0,0.0,,0.0,0.0,False,0.0,G,1,P,0039,1,1
Earth,1.0,TRAPPIST-1e,17.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,G,2,P,0041,1,1
Europa,0.0,TRAPPIST-1e,45.0,0.0,0.0,164.0,45.0,2511.0,855.0,False,3575.0,B,3,P,0043,1,1
Earth,1.0,TRAPPIST-1e,55.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,G,3,P,0044,3,0
Earth,1.0,55 Cancri e,4.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,G,3,P,0044,3,0
Earth,1.0,PSO J318.5-22,21.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,G,3,P,0044,3,0
Mars,0.0,TRAPPIST-1e,21.0,0.0,970.0,0.0,180.0,0.0,64.0,False,1214.0,F,10,P,0045,2,0
Mars,1.0,nan,19.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,F,10,P,0045,2,0
Earth,0.0,55 Cancri e,35.0,0.0,790.0,0.0,0.0,,0.0,False,790.0,E,1,S,0050,1,1
Earth,0.0,TRAPPIST-1e,56.0,0.0,0.0,112.0,0.0,1379.0,127.0,False,1618.0,E,2,S,0051,1,1
Earth,0.0,TRAPPIST-1e,,0.0,4.0,0.0,2.0,4683.0,0.0,False,4689.0,G,6,S,0052,1,1
Earth,0.0,TRAPPIST-1e,25.0,0.0,0.0,0.0,1938.0,0.0,1.0,True,1939.0,F,11,S,0053,1,1
Europa,0.0,TRAPPIST-1e,2.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,A,1,S,0056,3,0
Europa,1.0,TRAPPIST-1e,38.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,A,1,S,0056,3,0
Europa,0.0,TRAPPIST-1e,27.0,0.0,279.0,605.0,3374.0,286.0,3.0,True,4547.0,A,1,S,0056,3,0
Earth,1.0,PSO J318.5-22,36.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,G,7,S,0058,1,1
Earth,0.0,TRAPPIST-1e,22.0,0.0,45.0,1096.0,148.0,1377.0,1.0,False,2667.0,F,12,S,0061,1,1
Earth,0.0,TRAPPIST-1e,62.0,0.0,0.0,592.0,0.0,17.0,25.0,False,634.0,F,13,S,0062,1,1
Mars,1.0,TRAPPIST-1e,15.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,F,14,S,0064,2,0
nan,1.0,TRAPPIST-1e,33.0,0.0,0.0,0.0,,0.0,0.0,True,0.0,E,3,S,0064,2,0
Earth,0.0,TRAPPIST-1e,62.0,0.0,1.0,153.0,197.0,0.0,460.0,False,811.0,G,6,P,0066,1,1
Earth,1.0,PSO J318.5-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,G,10,S,0067,3,0
Earth,0.0,TRAPPIST-1e,18.0,0.0,1.0,258.0,446.0,0.0,0.0,True,705.0,G,10,S,0067,3,0
Earth,0.0,55 Cancri e,21.0,0.0,1946.0,37.0,0.0,0.0,24.0,False,2007.0,F,15,S,0067,3,0
Mars,0.0,TRAPPIST-1e,,0.0,793.0,0.0,2.0,253.0,0.0,False,1048.0,E,4,S,0068,1,1
Earth,0.0,TRAPPIST-1e,42.0,0.0,887.0,0.0,9.0,6.0,0.0,True,902.0,F,16,S,0069,1,1
Earth,0.0,TRAPPIST-1e,19.0,0.0,190.0,0.0,5.0,1.0,726.0,False,922.0,F,13,P,0070,1,1
Earth,0.0,TRAPPIST-1e,17.0,0.0,16.0,2165.0,0.0,0.0,52.0,False,2233.0,F,14,P,0071,1,1
Earth,0.0,TRAPPIST-1e,14.0,0.0,0.0,1.0,0.0,0.0,1063.0,False,1064.0,F,17,S,0072,1,1
Mars,0.0,PSO J318.5-22,37.0,0.0,46.0,83.0,738.0,0.0,12.0,False,879.0,D,3,P,0073,1,1
Europa,0.0,TRAPPIST-1e,42.0,0.0,1.0,8397.0,0.0,0.0,506.0,True,8904.0,C,3,S,0074,1,1
Mars,0.0,TRAPPIST-1e,27.0,0.0,147.0,0.0,1018.0,0.0,0.0,True,1165.0,F,18,S,0076,1,1
Mars,0.0,TRAPPIST-1e,28.0,0.0,14.0,0.0,1295.0,0.0,0.0,True,1309.0,F,15,P,0077,1,1
Europa,0.0,TRAPPIST-1e,38.0,0.0,0.0,5840.0,0.0,321.0,9654.0,False,15815.0,C,4,S,0078,1,1
Earth,1.0,TRAPPIST-1e,13.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,G,13,S,0081,1,1
Mars,0.0,TRAPPIST-1e,42.0,0.0,7406.0,0.0,0.0,0.0,0.0,False,7406.0,F,16,P,0082,3,0
Mars,1.0,TRAPPIST-1e,2.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,F,16,P,0082,3,0
Mars,0.0,TRAPPIST-1e,8.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,F,16,P,0082,3,0
Earth,0.0,TRAPPIST-1e,24.0,0.0,688.0,0.0,0.0,0.0,17.0,True,705.0,G,14,S,0084,1,1
Europa,1.0,TRAPPIST-1e,40.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,C,5,S,0085,1,1
Earth,0.0,TRAPPIST-1e,43.0,0.0,211.0,0.0,0.0,638.0,513.0,False,1362.0,F,17,P,0086,1,1
Mars,1.0,PSO J318.5-22,45.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,E,5,S,0088,1,1
Earth,1.0,TRAPPIST-1e,35.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,G,15,S,0090,1,1
Earth,1.0,TRAPPIST-1e,26.0,0.0,,0.0,0.0,0.0,0.0,True,0.0,G,16,S,0091,2,0
Earth,0.0,TRAPPIST-1e,27.0,0.0,1.0,697.0,31.0,188.0,0.0,False,917.0,F,20,S,0091,2,0
Earth,0.0,TRAPPIST-1e,19.0,0.0,0.0,0.0,670.0,1.0,34.0,False,705.0,G,9,P,0092,3,0
Earth,1.0,TRAPPIST-1e,0.0,0.0,0.0,0.0,,0.0,0.0,True,0.0,G,9,P,0092,3,0
Earth,1.0,TRAPPIST-1e,3.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,G,9,P,0092,3,0
Europa,0.0,TRAPPIST-1e,54.0,0.0,0.0,1208.0,0.0,3.0,637.0,False,1848.0,A,2,S,0097,1,1
Earth,0.0,TRAPPIST-1e,26.0,0.0,0.0,856.0,5.0,32.0,0.0,False,893.0,G,11,P,0098,2,0
Earth,0.0,TRAPPIST-1e,26.0,0.0,0.0,2811.0,957.0,0.0,87.0,True,3855.0,G,11,P,0098,2,0
Earth,0.0,PSO J318.5-22,23.0,0.0,311.0,427.0,526.0,37.0,0.0,False,1301.0,F,19,P,0099,2,0
Earth,,TRAPPIST-1e,2.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,G,12,P,0099,2,0
Mars,1.0,TRAPPIST-1e,31.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,,,,0101,1,1
Earth,0.0,TRAPPIST-1e,18.0,0.0,0.0,0.0,0.0,830.0,91.0,False,921.0,F,23,S,0102,1,1
Earth,0.0,TRAPPIST-1e,24.0,0.0,0.0,,0.0,0.0,17.0,True,17.0,F,24,S,0103,3,0
Earth,1.0,55 Cancri e,9.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,G,18,S,0103,3,0
Earth,1.0,TRAPPIST-1e,6.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,G,18,S,0103,3,0
Earth,,TRAPPIST-1e,27.0,0.0,0.0,0.0,570.0,2.0,131.0,False,703.0,F,21,P,0105,1,1
Mars,0.0,TRAPPIST-1e,21.0,0.0,1743.0,5.0,17.0,0.0,0.0,False,1765.0,D,2,S,0107,1,1
Earth,1.0,TRAPPIST-1e,23.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,G,19,S,0108,3,0
Earth,0.0,TRAPPIST-1e,31.0,0.0,562.0,0.0,326.0,0.0,0.0,False,888.0,G,19,S,0108,3,0
Earth,0.0,TRAPPIST-1e,0.0,,0.0,0.0,0.0,0.0,0.0,True,0.0,G,19,S,0108,3,0
Europa,0.0,TRAPPIST-1e,32.0,0.0,0.0,410.0,6.0,3929.0,764.0,False,5109.0,,,,0110,4,0
Europa,,TRAPPIST-1e,40.0,0.0,0.0,331.0,0.0,0.0,1687.0,False,2018.0,B,5,P,0110,4,0
Europa,0.0,TRAPPIST-1e,42.0,0.0,2209.0,11418.0,0.0,1868.0,445.0,True,15940.0,B,5,P,0110,4,0
Europa,1.0,TRAPPIST-1e,28.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,B,5,P,0110,4,0
Europa,1.0,TRAPPIST-1e,29.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,E,6,S,0111,1,1
Europa,0.0,55 Cancri e,48.0,1.0,0.0,2537.0,87.0,17.0,13.0,True,2654.0,B,1,S,0112,1,1
Earth,0.0,TRAPPIST-1e,64.0,0.0,0.0,0.0,804.0,0.0,0.0,True,804.0,F,23,P,0113,1,1
Earth,0.0,TRAPPIST-1e,27.0,0.0,82.0,157.0,429.0,238.0,1.0,False,907.0,G,20,S,0114,1,1
Mars,,TRAPPIST-1e,26.0,0.0,0.0,0.0,0.0,0.0,,True,0.0,F,24,P,0115,1,1
Europa,0.0,TRAPPIST-1e,33.0,0.0,1.0,2223.0,0.0,12.0,404.0,True,2640.0,D,4,P,0116,1,1
nan,0.0,TRAPPIST-1e,39.0,0.0,0.0,2344.0,0.0,65.0,6898.0,False,9307.0,A,0,P,0119,2,0
Europa,1.0,TRAPPIST-1e,13.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,A,0,P,0119,2,0
Mars,1.0,TRAPPIST-1e,24.0,0.0,0.0,0.0,0.0,0.0,,True,0.0,F,25,P,0120,1,1
Earth,0.0,TRAPPIST-1e,29.0,0.0,0.0,0.0,0.0,699.0,74.0,False,773.0,G,21,S,0122,1,1
Earth,0.0,TRAPPIST-1e,18.0,0.0,55.0,597.0,49.0,0.0,1.0,False,702.0,F,27,P,0123,1,1
Mars,1.0,TRAPPIST-1e,67.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,F,27,S,0126,1,1
Mars,0.0,TRAPPIST-1e,35.0,0.0,701.0,0.0,296.0,0.0,25.0,False,1022.0,E,7,S,0127,1,1
Mars,0.0,TRAPPIST-1e,61.0,1.0,2353.0,334.0,9.0,316.0,2.0,False,3014.0,D,3,S,0128,2,0
Mars,0.0,TRAPPIST-1e,45.0,0.0,2103.0,6.0,0.0,0.0,0.0,False,2109.0,E,8,S,0128,2,0
Earth,1.0,PSO J318.5-22,22.0,0.0,0.0,0.0,,0.0,0.0,True,0.0,G,22,S,0129,1,1
Mars,1.0,TRAPPIST-1e,19.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,F,29,S,0133,2,0
Mars,0.0,TRAPPIST-1e,36.0,0.0,2738.0,0.0,0.0,0.0,0.0,False,2738.0,D,5,S,0133,2,0
Earth,0.0,TRAPPIST-1e,19.0,0.0,0.0,14.0,730.0,0.0,0.0,True,744.0,G,17,P,0134,1,1
Earth,0.0,PSO J318.5-22,47.0,0.0,97.0,418.0,126.0,25.0,55.0,False,721.0,G,23,S,0136,1,1
Earth,1.0,TRAPPIST-1e,13.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,G,18,P,0138,2,0
Earth,0.0,nan,34.0,0.0,0.0,22.0,0.0,564.0,207.0,False,793.0,E,5,P,0138,2,0
Europa,1.0,55 Cancri e,35.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,C,6,S,0139,1,1
Earth,1.0,TRAPPIST-1e,24.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,G,19,P,0140,2,0
Earth,0.0,TRAPPIST-1e,26.0,0.0,440.0,0.0,0.0,0.0,462.0,False,902.0,F,29,P,0140,2,0
Mars,0.0,TRAPPIST-1e,31.0,0.0,,0.0,97.0,0.0,0.0,False,97.0,F,30,P,0141,1,1
Earth,0.0,TRAPPIST-1e,20.0,0.0,0.0,420.0,210.0,0.0,0.0,True,630.0,F,31,S,0144,1,1
Earth,0.0,TRAPPIST-1e,56.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,G,25,S,0146,1,1
Earth,1.0,TRAPPIST-1e,50.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,G,26,S,0147,1,1
Mars,0.0,TRAPPIST-1e,42.0,0.0,1072.0,0.0,10.0,0.0,76.0,False,1158.0,F,31,P,0148,1,1
Earth,1.0,55 Cancri e,,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,G,27,S,0149,1,1
Earth,1.0,55 Cancri e,38.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,G,20,P,0151,1,1
Earth,0.0,nan,41.0,0.0,0.0,0.0,0.0,0.0,607.0,False,607.0,F,32,P,0152,1,1
Earth,0.0,TRAPPIST-1e,22.0,0.0,4119.0,0.0,0.0,0.0,61.0,False,4180.0,G,22,P,0160,1,1
Europa,1.0,TRAPPIST-1e,26.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,B,8,P,0163,2,0
Europa,1.0,TRAPPIST-1e,17.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,B,8,P,0163,2,0
Earth,0.0,TRAPPIST-1e,57.0,0.0,50.0,1688.0,0.0,,135.0,True,1873.0,G,28,S,0164,2,0
Earth,1.0,PSO J318.5-22,17.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,G,28,S,0164,2,0
Mars,1.0,TRAPPIST-1e,35.0,,0.0,0.0,0.0,0.0,0.0,True,0.0,F,37,P,0165,1,1
Mars,1.0,TRAPPIST-1e,13.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,F,35,S,0167,2,0
Mars,0.0,TRAPPIST-1e,27.0,0.0,1365.0,0.0,48.0,22.0,137.0,False,1572.0,F,35,S,0167,2,0
Earth,1.0,TRAPPIST-1e,31.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,G,23,P,0169,1,1
Earth,0.0,TRAPPIST-1e,24.0,0.0,0.0,0.0,0.0,221.0,567.0,False,788.0,E,10,S,0170,1,1
Earth,1.0,PSO J318.5-22,19.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,G,30,S,0171,1,1
Earth,1.0,TRAPPIST-1e,32.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,G,24,P,0172,1,1
Earth,,TRAPPIST-1e,58.0,0.0,0.0,985.0,0.0,5.0,0.0,True,990.0,E,11,S,0173,1,1
Earth,0.0,55 Cancri e,21.0,0.0,287.0,0.0,16.0,115.0,175.0,False,593.0,F,38,P,0174,1,1
Europa,0.0,TRAPPIST-1e,38.0,0.0,0.0,10346.0,1.0,14970.0,2111.0,False,27428.0,B,2,S,0177,1,1
Mars,0.0,TRAPPIST-1e,38.0,0.0,3414.0,0.0,161.0,28.0,119.0,False,3722.0,D,6,S,0178,1,1
Earth,0.0,TRAPPIST-1e,19.0,0.0,1.0,219.0,673.0,2.0,11.0,True,906.0,G,26,P,0179,3,0
Earth,0.0,TRAPPIST-1e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,G,26,P,0179,3,0
Earth,0.0,TRAPPIST-1e,3.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,G,26,P,0179,3,0
Earth,0.0,TRAPPIST-1e,20.0,0.0,0.0,0.0,3.0,299.0,92.0,False,394.0,G,27,P,0181,1,1
Europa,1.0,TRAPPIST-1e,24.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,C,3,P,0182,1,1
Earth,0.0,TRAPPIST-1e,37.0,0.0,17.0,146.0,426.0,0.0,232.0,True,821.0,F,36,S,0183,1,1
Earth,0.0,TRAPPIST-1e,25.0,0.0,62.0,0.0,0.0,0.0,956.0,False,1018.0,G,28,P,0186,1,1
Earth,1.0,TRAPPIST-1e,56.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,G,31,S,0188,1,1
Earth,0.0,55 Cancri e,49.0,0.0,84.0,3.0,401.0,202.0,98.0,False,788.0,E,8,P,0189,1,1
Earth,1.0,55 Cancri e,11.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,G,32,S,0190,1,1
Earth,1.0,TRAPPIST-1e,1.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,G,29,P,0192,3,0
Earth,0.0,TRAPPIST-1e,8.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,G,29,P,0192,3,0
Earth,0.0,TRAPPIST-1e,39.0,0.0,0.0,0.0,10.0,898.0,0.0,False,908.0,G,29,P,0192,3,0
Mars,1.0,TRAPPIST-1e,2.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,F,41,P,0193,3,0
Mars,0.0,TRAPPIST-1e,23.0,0.0,,0.0,8.0,1072.0,0.0,False,1080.0,F,41,P,0193,3,0
Mars,0.0,TRAPPIST-1e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,F,41,P,0193,3,0
Mars,0.0,TRAPPIST-1e,39.0,0.0,406.0,0.0,867.0,0.0,0.0,True,1273.0,F,42,P,0195,1,1
Mars,0.0,PSO J318.5-22,25.0,0.0,1052.0,0.0,719.0,0.0,7.0,False,1778.0,D,5,P,0196,1,1
Europa,0.0,TRAPPIST-1e,36.0,0.0,0.0,972.0,0.0,795.0,575.0,False,2342.0,C,5,P,0197,1,1
Earth,,PSO J318.5-22,52.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,G,30,P,0198,1,1
Earth,1.0,TRAPPIST-1e,18.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,G,33,S,0199,1,1
Earth,1.0,TRAPPIST-1e,15.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,G,31,P,0200,1,1
Europa,1.0,TRAPPIST-1e,35.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,B,3,S,0201,2,0
Europa,1.0,TRAPPIST-1e,47.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,B,3,S,0201,2,0
Europa,1.0,55 Cancri e,45.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,B,9,P,0202,2,0
Europa,0.0,55 Cancri e,,0.0,0.0,2433.0,,878.0,443.0,True,3754.0,A,2,P,0202,2,0
Europa,1.0,TRAPPIST-1e,51.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,C,8,S,0203,1,1
Earth,0.0,TRAPPIST-1e,29.0,0.0,0.0,2.0,66.0,0.0,705.0,False,773.0,G,34,S,0205,1,1
Europa,0.0,55 Cancri e,,0.0,2.0,1720.0,12.0,1125.0,122.0,True,2981.0,C,9,S,0206,1,1
Earth,1.0,PSO J318.5-22,19.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,G,32,P,0207,1,1
nan,1.0,55 Cancri e,24.0,0.0,0.0,0.0,,0.0,0.0,True,0.0,D,6,P,0210,1,1
Mars,0.0,TRAPPIST-1e,29.0,0.0,902.0,1.0,137.0,0.0,0.0,True,1040.0,F,44,P,0211,3,0
Mars,1.0,TRAPPIST-1e,11.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,F,44,P,0211,3,0
Mars,0.0,TRAPPIST-1e,17.0,0.0,848.0,0.0,307.0,182.0,0.0,False,1337.0,F,44,P,0211,3,0
Earth,0.0,TRAPPIST-1e,13.0,0.0,192.0,0.0,0.0,51.0,739.0,False,982.0,E,9,P,0212,2,0
Earth,0.0,TRAPPIST-1e,35.0,0.0,147.0,188.0,0.0,10.0,387.0,False,732.0,F,45,P,0212,2,0
Earth,0.0,TRAPPIST-1e,21.0,0.0,367.0,281.0,0.0,0.0,146.0,False,794.0,F,46,P,0213,1,1
Earth,0.0,55 Cancri e,21.0,0.0,0.0,56.0,0.0,0.0,1918.0,False,1974.0,F,40,S,0216,1,1
Earth,0.0,TRAPPIST-1e,38.0,0.0,1517.0,0.0,0.0,27.0,0.0,False,1544.0,F,47,P,0217,1,1
Earth,1.0,TRAPPIST-1e,19.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,G,36,P,0219,1,1
Earth,1.0,TRAPPIST-1e,2.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,G,37,P,0220,7,0
Earth,0.0,TRAPPIST-1e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,G,37,P,0220,7,0
Earth,1.0,TRAPPIST-1e,13.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,G,37,P,0220,7,0
Earth,0.0,TRAPPIST-1e,25.0,0.0,122.0,84.0,,0.0,0.0,False,206.0,E,10,P,0220,7,0
Earth,0.0,TRAPPIST-1e,16.0,0.0,0.0,3.0,0.0,0.0,1099.0,False,1102.0,F,48,P,0220,7,0
Earth,0.0,55 Cancri e,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,G,37,P,0220,7,0
Earth,1.0,TRAPPIST-1e,15.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,G,37,P,0220,7,0
Mars,0.0,55 Cancri e,21.0,0.0,2237.0,0.0,119.0,0.0,0.0,False,2356.0,E,13,S,0221,7,0
Mars,0.0,TRAPPIST-1e,23.0,0.0,1215.0,80.0,1.0,2.0,0.0,False,1298.0,E,13,S,0221,7,0
Mars,0.0,TRAPPIST-1e,33.0,0.0,1933.0,12.0,188.0,1.0,0.0,False,2134.0,E,13,S,0221,7,0
Mars,1.0,TRAPPIST-1e,21.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,E,13,S,0221,7,0
Mars,0.0,TRAPPIST-1e,41.0,0.0,1230.0,0.0,301.0,43.0,1023.0,False,2597.0,E,13,S,0221,7,0
Mars,0.0,TRAPPIST-1e,16.0,0.0,915.0,0.0,221.0,234.0,0.0,False,1370.0,E,13,S,0221,7,0
Mars,1.0,TRAPPIST-1e,42.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,E,13,S,0221,7,0
